name,party,freq
Modi,EST,19
Narendra Modi,EST,11
Yogi Adityanath,EST,11
Arvind Kejriwal,OPP,8
Akhilesh Yadav,OPP,7
Kejriwal,OPP,6
Amit Shah,EST,6
Rahul Gandhi,OPP,5
Banerjee,OPP,4
Priyanka Gandhi,OPP,4
Ram Nath Kovind,EST,4
Jagtap,OPP,4
Nadda,EST,3
Mamata Banerjee,OPP,3
Karti Chidambaram,OPP,3
Dheeraj,EST,3
Gowda,EST,3
Kumar,EST,3
Inderjeet Singh,EST,3
Javed Iqbal,EST,3
Yogi,EST,2
Maurya,OPP,2
Akhilesh Yadav’s,OPP,2
Nitish,EST,2
Ajit Pawar,EST,2
Ravi Shankar Prasad,OPP,2
Prashant Kishor,OPP,2
Rai,OPP,2
Mamata,OPP,2
Nitish Kumar,EST,2
Sonia Gandhi,OPP,2
Rahul Gandhi's,OPP,2
KR Ramesh Kumar,EST,2
Supriya Sule,EST,2
Singh,OPP,1
Randhir Jaiswal,EST,1
Tejashwi Yadav,OPP,1
Rajeev Gowda,EST,1
Tariq Anwar,OPP,1
Rajesh Prasad Saini,EST,1
Tanveer Ahmed Ullah,EST,1
Rajiv Kumar,EST,1
Swatantra Dev Singh,EST,1
Ramesh Chennithala,OPP,1
Scindia,OPP,1
Sushil Modi,OPP,1
Satyadev Pachauri,EST,1
Ullah,OPP,1
Sunil Bansal,EST,1
Sharif Osman Hadi,OPP,1
Sunil Arora,EST,1
Shashikant Shinde,OPP,1
Sudhakar,OPP,1
Sheila Dixit,OPP,1
Shinde,EST,1
Ajay Kumar,EST,1
Priyanka Gandhi’s,OPP,1
Kiran Bedi,EST,1
Anwar,OPP,1
Arvind Kejriwal's,OPP,1
Asaduddin Owaisi,OPP,1
Chaudhary,OPP,1
D Kupendra Reddy,EST,1
Dharmendra Pradhan,EST,1
Dimple Yadav,OPP,1
Gopal Rai,OPP,1
HADI,OPP,1
Jyotiraditya Scindia,OPP,1
Kamal Haasan,EST,1
Kapil Mohan Chaudhary,OPP,1
Kishor,OPP,1
Priyanka Gandhi Vadra,OPP,1
Mahesh Chand Srivastava,EST,1
Majithia,OPP,1
Mayawati,OPP,1
Mullapally Ramachandran,EST,1
Ajay Kumar Lallu,EST,1
Nitish Kumar's,EST,1
Oommen Chandy,OPP,1
Owaisi,OPP,1
Prabhakar Kore,EST,1
Prasad,OPP,1
Prashant Jagtap,OPP,1
Prashant Kishor's,OPP,1
Yunus,OPP,1
