party,screen_name
BJP,9290
INC,9120
DMK,782
AAP,587
AIADMK,407
SP,284
GOV,280
NCP,198
BJD,187
SHIV SENA,169
ABVP,168
TRS,153
OTHER,145
CPIM,142
TDP,139
YSRCP,133
AMMK,129
AITC,78
JDU,74
RJD,70
AIMIM,67
JKNC,56
RSS,47
BSP,38
SAD,36
JDS,34
SWI,33
JKPDP,31
JMM,30
MNS,29
LJP,25
CPIML,18
IND,16
VHP,15
RLD,12
PMK,12
NPP,12
AJSU,12
GFP,12
SFI,9
JJP,8
AGP,7
NDPP,7
RLSP,7
LSP,6
AD,6
TJS,6
RLP,6
SAMAJWADI,6
JKPC,5
MNM,5
SWARAJ,5
AIUDF,5
JKPM,5
INDEPENDENT,5
DMDK,5
IUML,4
CPI,4
SBSP,4
INLD,4
SAMAJWADI ,4
VCK,4
SDPI,4
TMC,3
SKM,3
JAPL,3
SDF,3
AAMSU,3
NPF,3
NOM,3
RPI,3
IJK,3
SPI,2
RSP,2
,2
LJD,2
JKYNC,2
LIP,2
ADMK,2
LDP,2
DYFI,2
BSCP,2
LOKSP,1
BJDS,1
HAM,1
SBP,1
GJM,1
DFYI,1
BVA,1
SHP,1
BPP,1
AP,1
ASP,1
IPFT,1
AMMKK,1
TAMIL NADU,1
AKNJPSV,1
AISMK,1
AIPF,1
AIP,1
AIFB,1
YDF,1
YKD,1
HSP,1
RSAMAJP,1
JCC,1
PDF,1
MMK,1
MNF,1
LEFT,1
LDF,1
NEIDP,1
LD,1
KSP,1
KERALA CONGRESS(M),1
NUZP,1
KC,1
PEP,1
JKNPP,1
PFI,1
JVP,1
PPI,1
PRJA,1
PTP,1
JVM(P),1
RJP,1
JSVP,1
JSP,1
JP,1
KDMK,1
