,domain,id,id_str,party,screen_name,state,display_name
1,1.0,741171197342187521,741171197342187520,BJP,BJP4AnN,Andaman and Nicobar Islands,BJP Andaman Nicobar
2,1.0,1283244990274002949,1283244990274002944,INC,NSubramanian1,To Be Added,N.Subramanian.
3,1.0,935363557050298368,935363557050298368,INC,SatishYepuri,Andhra Pradesh,Satish Yepuri
4,1.0,112384119,112384119,BJP,praveenkubjp,Bihar,Praveen Kumar (Modi ka Parivar)
5,1.0,861956204255485952,861956204255485952,INC,Azamlebbai1,Maharashtra,
8,1.0,749538068500209664,749538068500209664,INC,hanfi_rahil,Maharashtra,
9,1.0,3296150520,3296150520,BJP,MumbaiYash,Maharashtra,yash thakur
10,1.0,757152185931161601,757152185931161600,BJP,Nitinkalebjp,Maharashtra,Nitin Kale
11,1.0,3281983514,3281983514,BJP,rajmatasantha2,Maharashtra,ashish..v.harole
12,1.0,1479755262,1479755262,BJP,babunair6,Maharashtra,
13,1.0,3307332774,3307332774,INC,VartakKuldeep,Maharashtra,Kuldeep Vartak
14,1.0,2425738308,2425738308,BJP,PwwareWare,Maharashtra,Prabhakar Ware ( मोदी का परीवार )
15,1.0,960165177839644672,960165177839644672,BJP,Randhir62157439,Bihar,Randhir Thakur
16,1.0,738373454605504512,738373454605504512,BJP,sarthkkawde,Maharashtra,Sanjaykawdekawde
17,1.0,2800107031,2800107031,INC,INCJafrabad,Maharashtra,INCJafrabad
18,1.0,919592597546459136,919592597546459136,INC,ShivsahayRana,Maharashtra,Shivsahay Singh Rana @INC
20,1.0,959706316561301504,959706316561301504,INC,SameerAkhtarAns,Maharashtra,Sameer Akhtar
21,1.0,984329248017141760,984329248017141760,BJP,HarikeshJaswl14,Maharashtra,Harikesh Jaiswal-(मोदी का परिवार)
22,1.0,927800214970396672,927800214970396672,BJP,BhavikP69143098,Maharashtra,Bhavik Patel - भाविक पटेल satire
23,1.0,391966635,391966635,BJP,nlshmishra5,Maharashtra,Adv. Nilesh Mishra🇮🇳
25,1.0,4143781214,4143781214,INC,tezaslam,To Be Added,ताज असलम
26,1.0,1011600447801618432,1011600447801618432,BJP,AjayKum29378263,Bihar,Ajay Kumar
27,1.0,3277243807,3277243807,INC,BaldevKhosa1944,Maharashtra,Baldev Khosa
28,1.0,3135314882,3135314882,INC,MakwanaZameer,Maharashtra,Zameer Makwana
29,1.0,75217559,75217559,BJP,deepakpohekar,Maharashtra,Deepak Pohekar
30,1.0,1056224600906842113,1056224600906842112,BJP,BakaneRajesh,Maharashtra,Rajesh Bakane
31,1.0,297293734,297293734,INC,umakantdhande,Maharashtra,INC Umakant Dhande
32,1.0,805356082193256448,805356082193256448,BJP,maheshu7011,Maharashtra,MAHESH UPADHYAY
33,1.0,3098089717,3098089717,INC,SaleemSayed_INC,Maharashtra,Saleem Sayed
34,1.0,750973568373166081,750973568373166080,NCP,vijaytupe10,Maharashtra,vijay tupe
35,1.0,4535269933,4535269933,BJP,DrSanjayWSharma,Maharashtra,Dr Sanjay W Sharma
36,1.0,1016496625831665664,1016496625831665664,BJP,TKamthe9,Maharashtra,chowkidar tushar.kamthe9@gmail.com
37,1.0,893500266938376192,893500266938376192,BJP,Kamlesh51370148,Bihar,Kamlesh Kumar
38,1.0,1046090403471085568,1046090403471085568,INC,MohsinK95787166,Maharashtra,Mohsin KHAN
39,1.0,824581973708529664,824581973708529664,INC,ansariowais103,Maharashtra,
40,1.0,865937704000868353,865937704000868352,INC,Nikhil_f0808,Maharashtra,
41,1.0,2515863378,2515863378,INC,parag555Patil,Maharashtra,Parag S Patil.
42,1.0,857509692062519296,857509692062519296,BJP,Aditya_singhR,Maharashtra,Aditya N Singh
