id,homepage,domain,url_search_string,label,notes,platform,pub_country,pub_state,media_type,stories_per_week,first_story,primary_language
17973,http://www.ndtv.com/,ndtv.com,,ndtv.com,,online_news,IND,,video_broadcast,4275,,en
19341,http://www.business-standard.com/,business-standard.com,,business-standard.com,,online_news,IND,IN-DL,print_native,2284,,en
178518,http://in.com/,in.com,,in.com,,online_news,,,,128,,
24099,http://www.medianama.com,medianama.com,,medianama.com,,online_news,IND,,digital_native,46,,en
1318042,http://www.firstpost.com/,firstpost.com,,firstpost.com,,online_news,,,,905,,
39247,http://www.deccanherald.com/,deccanherald.com,,Deccan Herald,,online_news,IND,IN-KA,print_native,,,en
39422,http://www.ibtimes.co.in/,ibtimes.co.in,,International Business Times,,online_news,IND,,digital_native,339,,en
39784,http://timesofindia.indiatimes.com/,indiatimes.com,timesofindia.indiatimes.com/*,The Times of India,"This appears to be the newspaper base URL, while the parent source is the more generic popular homepage.",online_news,IND,IN-DL,print_native,11062,,
20258,http://www.hindustantimes.com/,hindustantimes.com,,The Hindustan Times,Edited by VD,online_news,IND,IN-DL,print_native,4977,,en
39886,http://www.financialexpress.com/,financialexpress.com,,financialexpress.com,,online_news,IND,IN-DL,print_native,963,,en
22331,https://www.thehindu.com/,thehindu.com,,Hindu,,online_news,IND,IN-TN,,4635,,
40379,http://www.mumbaimirror.com/,mumbaimirror.com,,mumbaimirror.com,,online_news,IND,IN-MH,print_native,,,en
40667,http://www.indiantelevision.com/,indiantelevision.com,,indiantelevision,,online_news,IND,,video_broadcast,149,,en
41238,https://economictimes.indiatimes.com/,indiatimes.com,economictimes.indiatimes.com/*,economictimes,,online_news,IND,,print_native,650,,en
131138,http://mid-day.com/,mid-day.com,,mid-day.com,,online_news,,,,1048,,
55376,http://telegraphindia.com/,telegraphindia.com,,telegraphindia.com,,online_news,IND,IN-WB,print_native,,,en
55632,http://sify.com/,sify.com,,sify.com,,online_news,IND,,digital_native,,,en
56177,http://www.livemint.com/,livemint.com,,livemint.com,,online_news,IND,IN-DL,print_native,1992,,en
56899,https://indianexpress.com/,indianexpress.com,,Indian Express,,online_news,IND,IN-MH,print_native,2527,,en
57302,http://countercurrents.org/,countercurrents.org,,countercurrents.org,,online_news,IND,,digital_native,,,en
57626,http://tribuneindia.com/,tribuneindia.com,,tribuneindia.com,,online_news,IND,IN-CH,print_native,2298,,en
58552,http://www.tehelka.com/,tehelka.com,,tehelka.com,,online_news,IND,,print_native,,,en
59297,http://abclive.in/,abclive.in,,abclive.in,,online_news,IND,,digital_native,4,,en
59966,http://merinews.com/,merinews.com,,merinews.com,,online_news,IND,,digital_native,1,,en
41643,http://www.rediff.com/,rediff.com,,rediff,,online_news,,,,378,,
65929,http://www.dnaindia.com/,dnaindia.com,,dnaindia.com,,online_news,IND,IN-MH,print_native,696,,en
67799,http://indiatoday.intoday.in/#spider,intoday.in,indiatoday.intoday.in/*,indiatoday.intoday.in,,online_news,IND,,print_native,276,,en
67989,https://www.thehindubusinessline.com/,thehindubusinessline.com,,Business Line,,online_news,IND,IN-TN,print_native,1607,,en
811672,http://www.outlookindia.com/,outlookindia.com,,Outlook India,Edited by VD,online_news,IND,IN-DL,print_native,5,,en
1207811,https://hindi.moneycontrol.com/,moneycontrol.com,,moneycontrol.com,,online_news,,,,1633,,
285221,http://stats.espncricinfo.com/,espncricinfo.com,,stats.espncricinfo.com,,online_news,,,,94,,
99760,http://www.frontline.in/,frontline.in,,frontline.in,,online_news,IND,,print_native,245,,en
973649,http://www.newindianexpress.com/,newindianexpress.com,,newindianexpress.com,,online_news,,,,2071,,
104613,http://www.missmalini.com,missmalini.com,,"MissMalini - Bollywood, Fashion & Lifestyle... With a Desi Girl Twist!",,online_news,IND,,digital_native,,,en
104653,http://www.onemint.com,onemint.com,,One Mint,,online_news,IND,,digital_native,0,,en
104736,http://www.socialsamosa.com,socialsamosa.com,,Social Samosa | Indian Social Media Knowledge Storehouse,,online_news,IND,,digital_native,36,,en
105200,http://epw.in/#spider,epw.in,,epw.in,,online_news,IND,,print_native,0,,en
1342312,http://hindi.newsclick.in/,newsclick.in,,hindi.newsclick.in,,online_news,,,,153,,
110253,http://scroll.in/,scroll.in,,scroll.in,,online_news,IND,,digital_native,276,,en
115065,http://indiatimes.com/,indiatimes.com,,indiatimes.com,"This appears to be a generic content homepage, while the child source with a subdomain is the newspaper base URL.",online_news,IND,,digital_native,6939,,en
119703,http://kractivist.org/,kractivist.org,,kractivist.org,,online_news,IND,,digital_native,3,,en
121578,https://www.deccanchronicle.com/,deccanchronicle.com,,Deccan Chronicle,,online_news,IND,IN-AP,print_native,1334,,en
122230,http://timesnow.tv/,timesnow.tv,,timesnow.tv,,online_news,IND,,video_broadcast,,,en
125190,http://the-week.com/,the-week.com,,the-week.com,,online_news,IND,IN-KL,print_native,8,,en
136476,http://freepressjournal.in/,freepressjournal.in,,freepressjournal.in,,online_news,IND,IN-MH,print_native,2406,,en
144654,http://narendramodi.in/,narendramodi.in,,narendramodi.in,,online_news,IND,,digital_native,,,en
165995,http://week.manoramaonline.com/,manoramaonline.com,,manoramaonline.com,,online_news,IND,IN-KL,print_native,238,,ml
189910,http://news18.com/,news18.com,,news18.com,,online_news,IND,,video_broadcast,7757,,en
200849,http://ramachandraguha.in/,ramachandraguha.in,,ramachandraguha.in,,online_news,IND,,digital_native,0,,
208629,http://abplive.in/,abplive.in,,abplive.in,,online_news,,,,3105,,en
213083,http://afaqs.com/,afaqs.com,,afaqs.com,,online_news,IND,,digital_native,133,,en
219540,https://www.bhaskar.com/,bhaskar.com,,bhaskar.com,,online_news,IND,IN-MP,print_native,14154,,hi
221010,http://huffingtonpost.in/,huffingtonpost.in,,Huffington Post India,,online_news,IND,,digital_native,2,,
235764,http://www.ptinews.com/,ptinews.com,,ptinews.com,,online_news,IND,,print_native,,,en
749414,http://intoday.in/,intoday.in,,intoday.in,,online_news,,,,2578,,
245499,http://oneindia.com/,oneindia.com,,oneindia.com,,online_news,IND,,digital_native,2142,,
249195,http://ians.in/,ians.in,,Indo-Asian News Service (IANS),,online_news,IND,IN-DL,other,,,en
258176,http://thenewsminute.com/,thenewsminute.com,,thenewsminute.com,,online_news,IND,,digital_native,14,,en
